RowID,DocumentID,SectionTitle,ChunkSize,Overlap,ContentText,IsActive,SystemScore
1,DOC-2026-1001,Deep Dive Analysis Section 1,512,50,"This dummy data row 1 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.911
2,DOC-2026-1002,Deep Dive Analysis Section 2,512,50,"This dummy data row 2 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.912
3,DOC-2026-1003,Deep Dive Analysis Section 3,512,50,"This dummy data row 3 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.913
4,DOC-2026-1004,Deep Dive Analysis Section 4,512,50,"This dummy data row 4 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.914
5,DOC-2026-1005,Deep Dive Analysis Section 5,512,50,"This dummy data row 5 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.915
6,DOC-2026-1006,Deep Dive Analysis Section 6,512,50,"This dummy data row 6 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.916
7,DOC-2026-1007,Deep Dive Analysis Section 7,512,50,"This dummy data row 7 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.917
8,DOC-2026-1008,Deep Dive Analysis Section 8,512,50,"This dummy data row 8 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.918
9,DOC-2026-1009,Deep Dive Analysis Section 9,512,50,"This dummy data row 9 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.919
10,DOC-2026-1010,Deep Dive Analysis Section 10,512,50,"This dummy data row 10 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.92
11,DOC-2026-1011,Deep Dive Analysis Section 11,512,50,"This dummy data row 11 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.921
12,DOC-2026-1012,Deep Dive Analysis Section 12,512,50,"This dummy data row 12 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.922
13,DOC-2026-1013,Deep Dive Analysis Section 13,512,50,"This dummy data row 13 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.923
14,DOC-2026-1014,Deep Dive Analysis Section 14,512,50,"This dummy data row 14 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.924
15,DOC-2026-1015,Deep Dive Analysis Section 15,512,50,"This dummy data row 15 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.925
16,DOC-2026-1016,Deep Dive Analysis Section 16,512,50,"This dummy data row 16 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.926
17,DOC-2026-1017,Deep Dive Analysis Section 17,512,50,"This dummy data row 17 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.927
18,DOC-2026-1018,Deep Dive Analysis Section 18,512,50,"This dummy data row 18 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.928
19,DOC-2026-1019,Deep Dive Analysis Section 19,512,50,"This dummy data row 19 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.929
20,DOC-2026-1020,Deep Dive Analysis Section 20,512,50,"This dummy data row 20 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",TRUE,0.93
21,DOC-2026-1021,Deep Dive Analysis Section 21,512,50,"This dummy data row 21 contains representative text for testing CSV tokenizers in retrieval-augmented generation pipelines. Embedding layers process this textual field to yield a 1536-dimensional dense vector representation. Standard configurations require text splitting, and this row acts as a multi-sentence item that should be parsed into individual chunks based on delimiter rules.",FALSE,0.931
